title,clean_title,seeders,leechers,total_peers,category
The Elder Scrolls IV: Oblivion Remastered - Deluxe Edition (v0.411.140.0 + All D...,The Elder Scrolls IV: Oblivion - Deluxe Edition ( 411 140 0,2654,1210,3864,games
"Clair Obscur: Expedition 33 - Deluxe Edition (v56180 + DLC, MULTi12) [FitGirl Re...",Clair Obscur: Expedition 33 - Deluxe Edition [FitGirl Re,2640,822,3462,games
The Elder Scrolls IV Oblivion Remastered-RUNE,The Elder Scrolls IV Oblivion -RUNE,714,211,925,games
The Elder Scrolls IV Oblivion Remastered (2025) Deluxe Edition [PORTABLE],The Elder Scrolls IV Oblivion Deluxe Edition,349,37,386,games
The Elder Scrolls IV: Oblivion Remastered - Deluxe Edition (v0.411.140.0 + All D...,The Elder Scrolls IV: Oblivion - Deluxe Edition ( 411 140 0,607,200,807,games
Baldur's Gate 3: Digital Deluxe Edition (v4.1.1.6758295/Patch 8 + DLC/Bonus Cont...,Baldur's Gate 3: Digital Deluxe Edition ( 1 1 6758295/Patch 8,370,353,723,games
Clair Obscur Expedition 33-RUNE,Clair Obscur Expedition 33-RUNE,526,104,630,games
"Tempest Rising: Deluxe Edition (v1.0.0+43454 + 3 DLCs/Bonuses, MULTi10) [FitGirl...",Tempest Rising: Deluxe Edition [FitGirl,373,74,447,games
"Days Gone (v1.08 + Broken Road DLC, MULTi23) [FitGirl Repack, Selective Download...","Days Gone [FitGirl ,",446,424,870,games
"The Precinct (v1.4.18135, MULTi11) [FitGirl Repack]",The Precinct,1413,111,1524,games
Clair Obscur: Expedition 33 - Deluxe Edition (v56180 + All DLCs + Bonus Content ...,Clair Obscur: Expedition 33 - Deluxe Edition (,565,205,770,games
RuneScape: Dragonwilds,RuneScape: Dragonwilds,81,5,86,games
Mandragora: Whispers of the Witch Tree - Digital Deluxe Edition (v1.2.4.2147 + 9...,Mandragora: Whispers of the Witch Tree - Digital Deluxe Edition ( 2 4 2147,309,32,341,games
Clair Obscur: Expedition 33 Update v56190,Clair Obscur: Expedition 33,136,1,137,games
Days Gone Remastered (v1.08 + Broken Road DLC + MULTi23) (From 22.5 GB) [DODI Re...,Days Gone [DODI Re,110,105,215,games
Clair Obscur: Expedition 33 Update v1.2.2,Clair Obscur: Expedition 33,114,0,114,games
Tempest Rising-RUNE,Tempest Rising-RUNE,62,9,71,games
"Stellaris: Ultimate Bundle (v4.0.1-1ae3 + 41 DLCs/Bonuses, MULTi10) [FitGirl Rep...",Stellaris: Ultimate Bundle [FitGirl Rep,290,26,316,games
"FATAL FURY: City of the Wolves (v1.1.2-72904 + DLC, MULTi14) [FitGirl Repack]",FATAL FURY: City of the Wolves,226,25,251,games
