title,clean_title,seeders,leechers,total_peers,category
"The Last of Us: Part II - Remastered (v1.0.10402.1014 + DLC + Bonus OST, MULTi24...",The Last of Us: Part II - ( 0 10402 1014,1022,1592,2614,games
The Elder Scrolls IV: Oblivion Remastered - Deluxe Edition (v0.411.140.0 + All D...,The Elder Scrolls IV: Oblivion - Deluxe Edition ( 411 140 0,4885,7991,12876,games
The Elder Scrolls IV Oblivion Remastered-RUNE,The Elder Scrolls IV Oblivion -RUNE,1146,1021,2167,games
Schedule I (v0.3.3f15 + Online Multiplayer) [DODI Repack],Schedule I,1228,41,1269,games
The Elder Scrolls IV Oblivion Remastered (2025) Deluxe Edition [PORTABLE],The Elder Scrolls IV Oblivion Deluxe Edition,636,248,884,games
inZOI (v20250327.1308.W + MULTi13) [DODI Repack],inZOI,694,78,772,games
inZOI (Early Access),inZOI,442,39,481,games
"Clair Obscur: Expedition 33 - Deluxe Edition (v56180 + DLC, MULTi12) [FitGirl Re...",Clair Obscur: Expedition 33 - Deluxe Edition [FitGirl Re,3761,2836,6597,games
The Last of Us Part II Remastered-RUNE,The Last of Us Part II -RUNE,272,107,379,games
The Elder Scrolls IV: Oblivion Remastered - Deluxe Edition (v0.411.140.0 + All D...,The Elder Scrolls IV: Oblivion - Deluxe Edition ( 411 140 0,1137,1386,2523,games
The Last of Us Part II - Remastered (v1.0.10402.1014 + CrackFix + All DLCs + Bon...,The Last of Us Part II - ( 0 10402 1014,294,627,921,games
Blue Prince [FitGirl Repack],Blue Prince,636,12,648,games
Clair Obscur Expedition 33-RUNE,Clair Obscur Expedition 33-RUNE,698,292,990,games
"Tempest Rising: Deluxe Edition (v1.0.0+43454 + 3 DLCs/Bonuses, MULTi10) [FitGirl...",Tempest Rising: Deluxe Edition [FitGirl,567,133,700,games
Commandos: Origins - Deluxe Edition & Classified Archives (v1.0.0.74101 + 3 DLCs...,Commandos: Origins - Deluxe Edition & Classified Archives ( 0 0 74101,283,16,299,games
Schedule I v0.3.3f13,Schedule I 3 3f13,100,1,101,games
"House Party: Supporter Edition (v1.4.0.13093 + 8 DLCs, MULTi10) [FitGirl Repack]",House Party: Supporter Edition,309,31,340,games
Baldur's Gate 3: Digital Deluxe Edition (v4.1.1.6758295/Patch 8 + DLC/Bonus Cont...,Baldur's Gate 3: Digital Deluxe Edition ( 1 1 6758295/Patch 8,490,630,1120,games
"South of Midnight: Premium Edition (v1.1.0-184977 + 2 DLCs/Bonuses, MULTi23) [Fi...",South of Midnight: Premium Edition [Fi,344,111,455,games
"AI LIMIT: Deluxe Edition (+ HotFix + 2 DLCs, MULTi10) [FitGirl Repack]",AI LIMIT: Deluxe Edition,247,57,304,games
RuneScape: Dragonwilds,RuneScape: Dragonwilds,156,14,170,games
Schedule I v0.3.3f14,Schedule I 3 3f14,193,2,195,games
Schedule I v0.3.3f15,Schedule I 3 3f15,239,2,241,games
Schedule I v0.3.4f4,Schedule I 3 4f4,392,4,396,games
Mandragora: Whispers of the Witch Tree - Digital Deluxe Edition (v1.2.4.2147 + 9...,Mandragora: Whispers of the Witch Tree - Digital Deluxe Edition ( 2 4 2147,415,36,451,games
Venus Vacation PRISM: DEAD OR ALIVE Xtreme - Digital Deluxe Edition with Early P...,Venus Vacation PRISM: DEAD OR ALIVE Xtreme - Digital Deluxe Edition with Early P,234,19,253,games
Into the Dead: Our Darkest Days v0.3.10829,Into the Dead: Our Darkest Days 3 10829,87,6,93,games
Tempest Rising-RUNE,Tempest Rising-RUNE,129,42,171,games
inZOI Update v2025.03.29,inZOI,53,1,54,games
"Haste (v1.0.b + Bonus Soundtrack, MULTi10) [FitGirl Repack, Selective Download -...","Haste [FitGirl ,",191,17,208,games
The Last of Us Part II Remastered Crackfix-RUNE,The Last of Us Part II Crackfix-RUNE,91,3,94,games
"Age of Empires IV: Ultimate Bundle (v13.0.4343.0 + 6 DLCs/Bonuses, MULTi24) [Fit...",Age of Empires IV: Ultimate Bundle [Fit,170,119,289,games
"Dave The Diver: Deluxe Edition (v1.0.4.1637 + 3 DLCs + Bonus Content, MULTi11) [...",Dave The Diver: Deluxe Edition [,246,15,261,games
The Last of Us Part II Remastered Update v1.0.10407.714,The Last of Us Part II,79,2,81,games
