title,clean_title,seeders,leechers,total_peers,category
The.Accountant.2.2025.1080p.WebRip.Repack.Read.Note.X264.COLLECTiVE,The Accountant 2 Read Note COLLECTiVE,4157,8688,12845,movies
A.Working.Man.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,A Working Man DDP5 1 -NeoNoir,2643,1055,3698,movies
In.the.Lost.Lands.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,In the Lost Lands DDP5 1 -NeoNoir,1633,545,2178,movies
Death.of.a.Unicorn.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Death of a Unicorn DDP5 1 -NeoNoir,2163,1252,3415,movies
Sinners.2025.1080p.TeleSync.X264.COLLECTiVE,Sinners COLLECTiVE,1404,2087,3491,movies
Novocaine.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Novocaine DDP5 1 -NeoNoir,1410,795,2205,movies
Havoc 2025 1080p WEB-DL HEVC x265 5.1 BONE,Havoc 5 1 BONE,2149,649,2798,movies
Ash.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Ash DDP5 1 -NeoNoir,1247,267,1514,movies
Locked.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Locked DDP5 1 -NeoNoir,1014,327,1341,movies
Drop.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Drop DDP5 1 -NeoNoir,1270,1156,2426,movies
Captain America Brave New World 2025 1080p WEB-DL HEVC x265 5.1 BONE,Captain America Brave New World 5 1 BONE,435,60,495,movies
The Alto Knights 2025 1080p WEB-DL HEVC x265 5.1 BONE,The Alto Knights 5 1 BONE,912,248,1160,movies
A.Minecraft.Movie.2025.1080p.TeleSync.Brighter.Version.X264.COLLECTiVE,A Minecraft Movie Brighter Version COLLECTiVE,859,105,964,movies
G20.2025.1080p.DS4K.WEB-DL.DDP5.1.x265-NeoNoir,G20 DS4K DDP5 1 -NeoNoir,1190,252,1442,movies
JAAT 2025 HDTS NO ADS (REPLACED WM) HDTS AAC 2.0 DIGITAL - PANTHER RIPS,JAAT HDTS NO ADS HDTS 2 0 DIGITAL - PANTHER RIPS,307,132,439,movies
Another.Simple.Favor.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Another Simple Favor DDP5 1 -NeoNoir,1097,787,1884,movies
Jewel Thief  The Heist Begins (2025) Hindi 720p WEBRip x264 AAC ESub,Jewel Thief The Heist Begins Hindi ESub,282,27,309,movies
Warfare.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Warfare DDP5 1 -NeoNoir,3070,1565,4635,movies
The.Assessment.2024.1080p.WEB-DL.DDP5.1.x265-NeoNoir,The Assessment DDP5 1 -NeoNoir,619,296,915,movies
Gunslingers.2025.1080p.WEBRip.x264.AAC5.1-LAMA,Gunslingers AAC5 1-LAMA,751,111,862,movies
