title,clean_title,seeders,leechers,total_peers,category
Mickey.17.2025.1080p.WebRip.X264.COLLECTiVE,Mickey 17 COLLECTiVE,2266,617,2883,movies
A.Minecraft.Movie.2025.1080p.WORKPRINT.x264.COLLECTiVE,A Minecraft Movie WORKPRINT COLLECTiVE,3055,7098,10153,movies
Black.Bag.2025.1080p.MA.WEB-DL.DDP5.1.x265-NeoNoir,Black Bag MA DDP5 1 -NeoNoir,2131,1915,4046,movies
The.Electric.State.2025.1080p.WEBRip.AAC5.1.10bits.x265-Rapta,The Electric State AAC5 1 10bits -Rapta,845,268,1113,movies
The.Monkey.2025.1080p.WEBRip.x264.AAC-LAMA,The Monkey -LAMA,2126,618,2744,movies
Last.Breath.2025.1080p.WEB-DL.AAC5.1.x265-NeoNoir,Last Breath AAC5 1 -NeoNoir,1533,758,2291,movies
Novocaine.2025.1080p.HDRip.Cropped-NoAds.INT.READ.NFO.x264-AMC,Novocaine Cropped-NoAds INT READ NFO -AMC,1480,2024,3504,movies
A Working Man (2025) 720p WEBRip-LAMA,A Working Man -LAMA,2330,2817,5147,movies
Cleaner 2025 1080p WEB-DL HEVC x265 5.1 BONE,Cleaner 5 1 BONE,1437,260,1697,movies
Bill.Burr.Drop.Dead.Years.2025.1080p.WEB.H264-AccomplishedYak,Bill Burr Drop Dead Years WEB H264-AccomplishedYak,751,106,857,movies
In.the.Lost.Lands.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,In the Lost Lands DDP5 1 -NeoNoir,2375,518,2893,movies
Chhava (2025) Hindi 720p HC HDRip x264 AAC,Chhava Hindi,964,181,1145,movies
Batman.Ninja.vs.Yakuza.League.2025.1080p.WEB-DL.AAC5.1.x265-NeoNoir,Batman Ninja vs Yakuza League AAC5 1 -NeoNoir,663,53,716,movies
Sikandar 2025 1080p HQ Telesync V1 NO WM 2.0 Hindi DIGITAL HC ESUB - PANTHER RIP...,Sikandar HQ NO WM 2 0 Hindi DIGITAL ESUB - PANTHER RIP,597,128,725,movies
Deva 2025 1080p WEB-DL AAC5.1 x265 - xRG,Deva AAC5 1 - xRG,328,46,374,movies
Mickey.17.2025.1080p.TELESYNC.x264.AAC.B4ND1T69,Mickey 17 B4ND1T69,805,323,1128,movies
Mickey 17 2025 1080p WEB-DL HEVC x265 5.1 BONE,Mickey 17 5 1 BONE,3150,4036,7186,movies
"Officer on Duty (2025) 720p WEBRip x264 AAC [ Hin, Mal ] ESub",Officer on Duty ESub,640,51,691,movies
